ID		Centroid		Bounding Box		Equivalent diameter
0	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
1	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
2	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
3	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
4	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
5	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
6	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
7	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
8	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
9	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
10	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
11	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
12	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
13	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
14	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
15	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
16	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
17	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
18	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
19	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
20	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
21	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
22	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
23	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
24	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
25	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
26	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
27	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
28	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
29	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
30	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
31	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
32	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
33	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
34	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
35	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
36	[288.0,	334.0]	[288.0,	334.0,	1.0]		1.1283791670955126
37	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
38	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
39	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
40	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
41	[-1.0,	-1.0]	[-1.0,	-1.0,	1.0]		0.0
42	[189.0,	333.0]	[189.0,	333.0,	1.0]		1.1283791670955126
43	[314.0,	289.3333333333333]	[190.0,	261.0,	1.0]		1.9544100476116797
44	[164.0,	322.0]	[164.0,	322.0,	1.0]		1.1283791670955126
45	[166.66666666666666,	320.6666666666667]	[147.0,	312.0,	1.0]		1.9544100476116797
46	[244.25,	332.0]	[160.0,	315.0,	1.0]		2.256758334191025
47	[210.0,	319.0]	[135.0,	303.0,	1.0]		1.5957691216057308
48	[243.0,	293.625]	[139.0,	193.0,	1.0]		3.1915382432114616
49	[273.0,	292.25]	[166.0,	208.0,	1.0]		3.1915382432114616
50	[299.625,	266.25]	[150.0,	190.0,	1.0]		3.1915382432114616
51	[238.91666666666666,	313.3333333333333]	[159.0,	207.0,	1.0]		3.9088200952233594
52	[275.5625,	300.0]	[133.0,	192.0,	1.0]		4.51351666838205
53	[308.77777777777777,	295.6666666666667]	[187.0,	214.0,	1.0]		3.385137501286538
54	[268.2692307692308,	306.4230769230769]	[134.0,	189.0,	1.0]		5.753627391751592
55	[279.6666666666667,	287.5238095238095]	[126.0,	133.0,	1.0]		5.170882945826411
56	[262.11538461538464,	305.6923076923077]	[112.0,	132.0,	1.0]		5.753627391751592
57	[231.2325581395349,	319.4418604651163]	[149.0,	149.0,	1.0]		7.399277020331919
58	[283.0416666666667,	292.8958333333333]	[152.0,	136.0,	1.0]		7.817640190446719
59	[258.109375,	307.671875]	[136.0,	148.0,	1.0]		9.0270333367641
60	[278.35643564356434,	299.96039603960395]	[146.0,	164.0,	1.0]		11.340070282773887
61	[276.325,	298.525]	[124.0,	101.0,	1.0]		12.360774464742066
